政府採購法常見問題Q＆A
一、	共通性部分：
十八、「公共工程招標文件公開閱覽制度實施要點」第8點所稱之：「…廠商或民眾意見之處理，應以公開方式辦理」，何謂以公開方式辦理？	「公共工程招標文件公開閱覽制度實施要點」第8點第2項載明：「前項廠商或民眾意見之處理，應以公開方式辦理」，係指廠商或民眾意見之處理無需以密件處理，招標機關可將意見及處理情形個別答復提出意見者。
十九、工程採購案件經調解不成立，廠商提付仲裁，機關是否不得拒絕？另如雙方合意，得否未經調解逕付仲裁？	一、	政府採購法第85條之1第2項規定「…工程採購經採購申訴審議委員會提出調解建議或調解方案，因機關不同意致調解不成立者，廠商提付仲裁，機關不得拒絕」。
二、	依仲裁法第1條及政府採購法第85條之1第1項規定，由雙方合意逕付仲裁，尚無不可。
二十、工程竣工圖說係由施工廠商繪製？亦或由監造廠商繪製？ 	工程竣工圖說究係由施工廠商繪製亦或由監造廠商繪製，應由招標機關於招標文件預先規定，原則上由承包商負責製作，交由監造單位審查後提送工程主辦機關。
三、	財物採購部分：

一、公立學校辦理營養午餐食材之採購，是否得認定為「生鮮農漁產品」，排除政府採購法之適用？	政府採購法第7條第2項所稱「生鮮農漁產品」，原修法理由已有說明：「為食品之一種具有易腐性且有生命現象，品質在短時間內易生變化與一般物品性質不同」。營養午餐之食材，例如蔬菜水果，得認定為「生鮮農漁產品」；但冷凍食品(肉品)或加工製造之食品，則不適用上開定義，應依政府採購法規定辦理採購。
二、機關洽請各大型飯店提供會議暨相關活動場所，並就地安排辦理膳宿事務，是否應依政府採購法規定辦理？	機關洽訂會議或活動場所及膳宿事務屬財物之承租及勞務之採購，適用政府採購法。
三、機關之投標須知未明定「允許非條約協定國廠商參與」，若國內廠商供應非條約協定國廠商之財物是否視同外國廠商，由其得標是否違法？	國內廠商供應非條約協定國廠商之財物，依外國廠商參與非條約協定採購處理辦法第4條第2項之規定，視同外國廠商。惟如投標須知未限定財物之原產地須為我國，則由該國內廠商得標，不違反政府採購法。
四、機關公開徵求房地產，對於尚在建照未取得使用執照之房地，得否參與競標？	對於尚在建照未取得使用執照者，不宜納為徵選之標的。
五、機關公開徵求勘選房地產，招標文件是否應訂明廠商參與投標應繳納押標金，得標後應繳納履約保證金？	機關公開徵求勘選房地產，依交易慣例無收取押標金或履約保證金之必要者，得予免收。
六、機關可否依政府採購法第22條第1項第12款直接向身心障礙福利機構，原住民團體採購其自行生產之財物？	機關依政府採購法第22條第1項第12款規定辦理，應就個案敘明符合該款規定之要件，該等機構或團體所提供之財物以非營利產品為限。
七、財物採購如何辦理招標文件公開閱覽？	得依政府採購法第34條第1項但書並準用「公共工程招標文件公開閱覽制度實施要點」之規定辦理。
八、招標文件是否得規定，廠商投標時須檢附財物之原廠製造證明、原廠代理證明、原廠願意供應證明、原廠品質保證書？	招標文件規定，投標時須檢附原廠製造證明等證明，非屬投標廠商資格與特殊或巨額採購認定標準第2條至第5條所訂廠商資格範圍，有資格限制競爭之虞。
九、機關採購公用事業依一定費率供應之標的，如屬獨家供應且無議減價格之空間，得否免進行議價？	機關採購公用事業依一定費率供應之標的，如屬獨家供應且無法以議價方式辦理者，得免經議價程序。
十、機關辦理圖書採購，其決標原則，得否以廠商所報書本定價之折扣率最高者為決標對象？	圖書採購，得以折扣數之高低為決標依據，但須符合政府採購法第52條第1項之決標原則。
十一、機關辦理財物採購，如有需訂定物價指數調整之條款，得否引用工程採購契約中有關臺灣地區營造工程物價指數計算物價調整款之條款？	機關辦理財物採購，如於契約中載明契約價金依物價指數調整之約定，應考量標的類別特性，參考工程會訂頒之財物採購契約範本第5條妥為訂定，勿任意引用臺灣地區營造工程物價指數。如欲引用上開工程物價指數，以財物採購案中，其性質屬工程項目者為限，並於招標文件中預為載明適用之項目。
十二、機關辦理視聽設備採購，將音響、擴音設備、燈光、置物櫃、座椅等併案招標，得否採非複數決標由同一廠商供應？	機關將不同性質之數項財物併案招標，其各項財物係可分別使用且屬不同行業廠商供應者，應依政府採購法施行細則第65條允許分項報價及分項決標，不宜採非複數決標由同一廠商供應。
十三、機關採公開方式辦理電腦軟、硬體採購及其後續數年之維護服務，應如何防範得標廠商侵害第三人之智慧財產權？	機關採公開方式辦理採購，宜於契約約定維修服務工作如涉及原軟硬體廠商之應用程式或軟體或其他第三人之專屬權利，得標廠商應合法取得相關權利，且將上開取得之證明納為履約要件之一，以避免得標廠商侵害第三人之智慧財產權。
十四、機關採購原物料，對於不符合契約規定之原物料，可否逕行予以扣款，免通知換貨？	廠商所交貨品不符合契約約定之情形，如已於契約載明得逕行扣款、罰款後收受，免辦理退貨或換貨。
十五、機關辦理財物採購，契約規定交貨期限為99年8月1日，該日適逢星期日，得標廠商於同年8月2日交貨，是否屬延遲交貨？	政府採購契約約定履約期限以日曆天計算者，如該履約期間之末日適逢星期假日、國定假日或其他休息日，而契約未有特別約定者，適用民法第122條所定「以其休息日之次日代之」。
十六、工程會指定台灣銀行簽訂之共同供應契約，對各機關是否強制使用？	工程會指定台灣銀行簽訂之共同供應契約，已明定各機關得不利用該契約，係提供各機關多重採購方式的選項之一，不強制各機關利用。
十七、機關辦理財物之出租，於政府電子採購網刊登財物之出租或變賣公告，如廠商有重大違約情形，是否應將其刊登為拒絕往來廠商？
	機關辦理財物之出租，不適用政府採購法，亦不適用政府採購法第101條至第103條有關拒絕往來廠商之規定。
四、	勞務採購部分：
一、技術服務採購訂定投標廠商特定資格之條件為何？	依「投標廠商資格與特殊或巨額採購認定標準」第5條規定，機關辦理特殊或巨額之技術服務採購，得訂定投標廠商特定資格。技術服務採購屬勞務採購，依同標準第7條規定，需要特殊專業或技術人才始能完成者為特殊採購；依同標準第8條規定，其採購金額在2,000萬元以上者，為巨額採購。
二、委託技術服務採購，原則上以何種方式招標決標較適宜？	委託技術服務採購，係以技術服務品質取勝，其採購金額在公告金額以上者，原則上宜依政府採購法第22條第1項第9款辦理公開客觀評選，並準用最有利標之決標方式；其採購金額未達公告金額而逾公告金額十分之一者，依政府採購法第49條之規定，亦得依第22條第1項第9款規定辦理。
三、機關委託技術廠商辦理工程之設計服務，關於節能減碳等事項要求如何？	依「機關委託技術服務廠商評選及計費辦法」第6條第2項規定：「設計，應符合節省能源、減少溫室氣體排放、保護環境、節約資源、經濟耐用等目的，並考量景觀、自然生態、兩性友善環境、生活美學」。
四、機關委託廠商辦理技術服務，是否要求廠商投保「專業責任保險」？	依「機關委託技術服務廠商評選及計費辦法」第14條第1項第6款規定，機關得於委託契約約定廠商應投保「專業責任保險」，所需保險費包含於服務費用項目之內。有關保險範圍、金額、期限、保單自負額之限制，由機關依服務案件特性定之。
五、機關與評選優勝之廠商議價，應如何辦理？	依「機關委託技術服務廠商評選及計費辦法」第23條第1項規定，機關與評選優勝廠商之議價，應依下列方式之一辦理，並載明於招標文件：（1）優勝廠商為一家者，以議價方式辦理；（2）優勝廠商在二家以上者，依優勝序位，自最優勝者起，依序以議價方式辦理。但有二家以上廠商為同一優勝序位者，以標價低者優先議價。
六、機關委託廠商辦理技術服務，服務費用採建造費用百分比法計費，如屬特殊工程或需要高度技術之服務案件，致有超過各附表所列百分比之必要者，應如何處理？	依「機關委託技術服務廠商評選及計費辦法」第29條第1項規定，機關應敘明理由，簽報上級機關核定。
七、機關委託技術廠商辦理工程之技術服務，如採建造費用百分比法計費，其建造費用是否包括物價指數調整工程款？
	依「機關委託技術服務廠商評選及計費辦法」第29條第2項規定，建造費用不包括物價指數調整工程款。
八、機關委託技術服務廠商辦理工程之技術服務，已經設計完成，但因政策變更，機關要求技術服務廠商依不同之條件重新設計，其服務費用如何處理？	依「機關委託技術服務廠商評選及計費辦法」第34條規定：「廠商因不可歸責於其本身之事由，應機關要求對同一服務事項依不同條件辦理多次規劃或設計者，其重複規劃或設計之部分，機關應核實另給服務費用。但以經機關審查同意者為限」。
九、建築師依法律規定須交由結構、電機或冷凍空調等技師或消防設備師辦理之工程所需之費用，機關應如何處理？	依「機關委託技術服務廠商評選及計費辦法」附表一附註二規定：「建築師依法律規定須交由結構、電機或冷凍空調等技師或消防設備師辦理之工程所需費用，包含於本表所列設計監造服務費用內，不另給付」。
十、機關委託技術服務廠商辦理小規模（例如工程經費未達新臺幣一百萬元）、國家公園範圍內或區位偏遠工程之技術服務，其服務費用如何計算？	依「機關委託技術服務廠商評選及計費辦法」附表一附註九或附表二附註三規定：其服務費用得依個案特性及實際需要預估編列，不受本表百分比上限之限制。
十一、機關辦理緊急性技術服務採購案件可否由技師公會辦理？	機關辦理緊急性技術服務採購案件，其依法規得逕洽廠商辦理者，機關透過相關技師公會推薦承辦技師，屬處理緊急事故之權宜措施。惟該技術服務如非法令規定得由技師公會辦理者，不得以公會為委辦對象，應由機關與承辦技師簽約。
十二、依「機關委託技術服務廠商評選及計費辦法」評選出優勝序位後，再辦理議價，能否限制減價次數？	政府採購法施行細則第73條規定：「合於招標文件規定之投標廠商僅有1家或採議價方式辦理，須限制減價次數者，應先通知廠商。」，故如主辦機關評選出優勝廠商後辦理議價，並認為須限制減價次數者，應依該規定辦理。
十三、機關辦理印刷品印製之採購，以廣告互惠方式委請特定廠商印製，機關未支付費用，是否適用政府採購法？	所述印製案雖未動支機關經費，惟實係以機關原可收取之廠商權利金及廣告收入抵付，二者之間因存有「對價關係」，適用政府採購法，故仍應依政府採購法第18條至第23條規定擇適當方式辦理招標。
十四、機關依政府採購法第22條第1項第9款至第11款辦理公告，投標廠商有無家數限制?	僅1家廠商投標，亦得辦理。
十五、機關辦理不動產之保險採購，可否依政府採購法第22條第1條第9款規定採限制性招標?	機關辦理保險採購，屬專業服務之勞務採購，得依政府採購法第22條第1條第9款規定採限制性招標。
十六、機關辦理未達100萬元之旅遊服務，履約地點位於原住民地區，是否應優先決標予原住民廠商?	機關辦理履約地點位於原住民地區未達100萬元之採購，依原住民族工作權保障法第11條規定，除符合其施行細則第9條所定原住民廠商無法承作之情形外，應優先由原住民廠商承作。
十七、機關辦理資訊服務採購，採公開評選優勝廠商方式辦理，參與評選之廠商可否向機關申請閱覽評選委員之評分表？	依最有利標評選辦法第20條第2項及第3項規定，投標廠商得申請、閱覽、抄寫、複印或攝影評選委員會之會議紀錄及機關彙總製作之總表。但各出席委員之評分表，機關應保守秘密。
十八、文藝表演活動係為勞務採購，如何辦理驗收？	機關舉辦文藝表演活動，宜於活動過程中，派員參與查核，採實地驗收；如為多場次活動，機關囿於人力不足，無法全程參與者，可考量參與部分場次；實地驗收有困難者，亦可考量依政府採購法施行細則第90條之1規定，就廠商於現場表演後，留下之錄影或照片等紀錄，採書面驗收。
十九、關於機關辦理勞務採購，如需支用準備招標文件、誤餐等費用，是否得編列管理費？	中央政府對於各機關辦理工程所需之各項管理費用，訂有「中央政府各機關工程管理費支用要點」，規範工程管理費之支用項目及計算標準；惟對於勞務採購則未訂定管理費之支用規定，故各機關辦理各項採購所需之準備費用，並未編列專項預算，係在各機關原列預算相關業務經費項下支應。
二十、機關可否於勞務承攬工作中要求承攬商必須以一定之「保障工資」僱用員工？	機關將其勞務工作外包，為維持承攬商勞務提供品質之穩定及效率，要求承攬廠商必須以一定金額以上之薪資僱用勞工，以保障勞工之勞動條件，於法尚無不符，惟該項最低保障薪資不得低於基本工資之規定。
五、	電子採購部分：
一、法人團體如何申請政府電子採購網之帳號 ？	若有政府採購法第4條(補助)或第5條(代辦)之適用情形，請至政府電子採購網首頁左下角，點選【法人團體帳號申請】功能申請，建議先申請XCA憑證或工商憑證，再申請法人團體帳號，因只有帳號沒有憑證，仍無法辦理電子招標及電子下訂等電子採購業務。
二、一般廠商或個人如何申請政府電子採購網之帳號 ？	請至政府電子採購網首頁右下角，點選【免費加入會員】，一般廠商或個人申請要自選帳號，只要自選帳號無重覆情形，系統會自動核准，無需送審。
三、如何修改政府電子採購網個人資料？	請至政府電子採購網， 機關身分請登入機關帳號密碼後，點選左選單【帳號授權】>【個人資料維護】功能；廠商身分請登入廠商帳號密碼後，點選左選單【個人化服務】>【個人資料維護】功能。
四、政府電子採購網領標下載招標文件後，發現「電子領標憑證」為亂碼，如何列印電子憑據？ 	政府電子採購網提供下列方式：
1.點選【免帳號找標案】快捷圖示>【列印領標憑據】功能。
2.首頁【常用查詢】>【標案查詢】，點選查詢畫面上方之【列印領標憑據】功能。
3.登入廠商帳號密碼後，左選單【政府採購】>【領標管理】>【檢驗領標憑據】功能。
選擇您的憑據傳送後，系統即會顯示憑據資訊，利用「友善列印」功能，即可列印。
五、政府電子採購網領標憑證遺失或存錯檔案，該如何補領？	電子領標時，系統有提供一組密碼，請至政府電子採購網，登入廠商帳號密碼後，點選左選單【政府採購】>【領標管理】>【補發領標憑據】功能，輸入相關資料後，即可補領領標憑據。
六、政府電子採購網，如何新增財物變賣(出租)？	請至政府電子採購網， 登入機關帳號密碼後，點選左選單【採購輔助】>【財物處理】>【財物變賣(出租)】>【新增作業】功能。
七、政府電子採購網領標繳費付款方式為何？	1.電子領標付費，可利用HiNet點數卡或提供ADSL帳號付費。
2.不管有無申裝中華電信網路皆可購買點數卡使用，購買點數卡請至政府電子採購網首頁右下角，點選【購買點數】功能，(網址：http://e-pay.hinet.net/)，如有購買點數問題請洽0800-080412。
3.電子領標付費，會出現HN付費頁面，因HiNet點數卡或提供ADSL帳號都會提供HN號碼，以利使用。
八、政府電子採購網電子領標系統費用為何？	電子領標系統費用包括代收招標文件費（5%）及系統使用費（10%），合計為招標文件費用之15%。如機關不收招標文件費，則為20元。
九、政府電子採購網，如何查詢拒絕往來廠商名單？	請至政府電子採購網，點選【常用查詢】>【拒絕往來廠商】功能，或登入機關帳號密碼後，點選左選單【採購輔助】>【廠商管理】>【拒絕往來廠商】>【查詢作業】功能。
十、採購專業人員已調新單位，如何於政府電子採購網轉入新單位？  	請新單位至政府電子採購網， 登入機關帳號密碼後，點選左選單由【採購輔助】>【採購專業】>【人員管理】>【人員轉入】功能，輸入姓名或身分證字號執行即可。
十一、政府電子採購網，歷史標案之招標文件如何下載？	請至政府電子採購網， 登入機關帳號密碼後，點選左選單【政府採購】>【領標管理】>【歷史標案查詢】功能，輸入查詢條件及點選該標案之「檢視」功能後，按「下載」功能。
十二、政府電子採購網，如何查詢共同供應契約商品？	請至政府電子採購網， 登入機關帳號密碼後，點選左選單【共同供應契約-適用機關】>【商品查詢】，進行查詢即可。
十三、政府電子採購網，如何下載商品契約內容？	請至政府電子採購網， 登入機關帳號密碼後，點選左選單【共同供應契約-適用機關】>【商品查詢】，選取所需商品後，點選【契約內容】，即可下載。
十四、於政府電子採購網，流標後，原電腦遴選的委員可以重複使用嗎？	可以，辦理第2次或以後之招標公告時，選擇同一組電腦遴選委員名單即可，系統亦允許機關可以重新以電腦功能遴選委員。
十五、新增決標公告，「依據法條」選取「採購法第22條第1項第7款」者，輸入原公告案號後，為何於政府電子採購網仍無法傳輸成功案？    	原招標公告之「未來增購權利」須選取為「是」，且已登載「後續擴充情形及上限」之內容，才允許傳輸。
六、	其他部分：
一、政府採購案件如何採購國產品？	機關辦理不適用世界貿易組織(WTO)政府採購協定(GPA)之採購，得於招標文件明定採購國產品。
二、機關辦理採購，招標文件明定採購標的不得為大陸地區產品，是否為不當限制競爭?	我國與大陸尚未締結相互開放政府採購市場之條約或協定，依「外國廠商參與非條約協定採購處理辦法」規定，機關辦理採購，如不允許大陸地區之廠商、財物或勞務參與，尚屬適法。
三、GPA何時對我國生效?	GPA於98年7月15日對我國生效。
四、我國加入GPA之市場開放範圍?	我國加入GPA所開放之政府採購市場，其主要範圍如下，並非全面開放：一、中央機關（包括總統府、行政院及行政院所屬部、會、處、局、署）：財物及勞務採購金額新臺幣647萬元以上（100年及101年之門檻金額，以下同）、工程採購金額新臺幣2億4,908萬元以上。二、地方機關（包括台灣省政府、台北市政府、高雄市政府）：財物及勞務採購金額新臺幣996萬元以上；工程採購100年7月14日以前新臺幣4億9,816萬元以上，100年7月15日以後新臺幣2億4,908萬元以上。三、其他機關（包括部分公營事業、公立醫院及國立院校）：財物及勞務採購金額新臺幣1,992萬元以上；工程採購金額同地方機關之個案開放門檻金額。
五、適用GPA之採購，是否需刊登英文招標公告？	適用GPA之案件應於政府電子採購網刊登英文摘要招標公告（含招標機關名稱及地址、招標標的、領投標期限、領標處所）。
六、適用GPA之採購，機關是否需提供外文招標文件？	機關可僅提供中文（正體字）之招標文件。個案是否提供英文招標文件，由個別機關決定。
七、適用GPA之採購，廠商可否以外文投標？	機關可於招標文件規定投標文件須以中文（正體字）為之，也可規定外文資格文件須附經公證或認證之中文譯本。個案是否允許以英文投標，視個案招標文件之規定而定。
八、適用GPA之採購，廠商可否以外幣報價？	機關可於招標文件規定限以新臺幣報價，憑外國廠商在台營業代理人之統一發票領款。個案是否允許以外幣報價，視個案招標文件之規定而定。
九、加入GPA後，政府採購可否要求實施工業合作計畫？	對於適用GPA之採購，需依照政府採購協定辦理，少數運輸項目訂有過渡性措施，例如運輸項目HS8601鐵路機車，我國於100年12月31日以前可進行採購金額50%以內之工業合作措施。
十、外國建築師或技師是否可逕至我國提供服務？	外國專業服務業者，欲於我國提供建築師、技師或律師服務，仍須取得我國執照，或經由國與國相互認許資格，並非毫無限制之開放。
十一、適用GPA之採購，可否不允許外國廠商單獨投標，只允許外國廠商與國內廠商共同投標？	就適用GPA採購案，採購機關不得要求外國廠商須與國內廠商共同投標。
十二、適用GPA之採購，可否指定交貨地點?	機關可於招標文件規定履約交貨地點為指定之場所，外國廠商須自行負責運輸報關提貨事宜。

